﻿原文,译文
斯卡拉格里姆呢？,
清点财物刚清点到一半，一个绝不会听错的声响攫住了你的注意力——无数双靴子踏过冰封的灌木丛，步履急促。,
若是我替你除掉那些找你麻烦的战士，怎么说？,
请容我介绍这位德鲁伊，默丁·埃姆里斯，还有他的学徒，基利安。,
这城的气味全然不对。我们离家太远了。,
他脸上那怨恨之色，不曾有片刻缓和。,
你看上去出奇地放松。,
你说得对。并非人人都能理解。会让事情变得很麻烦。,
克维杜尔夫满意地咕噜了一声，宽慰地拍了拍你的肩膀。,
想法子进到那座墓冢里去。,
要是没有你和你那班侍卫，北方人铁定已经赢了。,
返回奥克尼群岛，去找斯卡拉格里姆谈谈。,
他看上去就是个刚愎自用、不服管束的国王，我看在往后的日子里，他也绝不会甘心为我们所用。,
我可不喜欢留下后患。,
她颤颤巍巍地朝前迈了一步。,
英吉马尔若有所思地嚼着东西。,
多谢了，克维杜尔夫。,
事很简单：我们必须让整支军队穿过哈德良长城，才能抵达埃奥福维克。适合大军通过的隘口寥寥无几，还全攥在诺森布里亚手里。,
感觉我这辈子待在这镇上的辰光比在高地还长。可得留点儿神，不然身子骨就懒了。,
这是非做不可的事。,
{给予 50 份口粮。} 我想为芙蕾雅献上一份祭品，求她在战场上护我周全。,
我敢肯定你能猜到这故事的结局。,
我请求你的准许，为我的船招募一队船员。,
一抹歪斜而古怪的笑。,
快！我们搭一个披棚，可以去那儿避过这场风雪！,
奥克尼群岛的统御之权，尽归你所有。,
我要是知道线索，早就亲自集结军团士兵去救她了。我们追踪着绑走瑞亚的那伙人留下的足迹出了城墙，可一到城外，踪迹就断了。,
阿斯莱夫尔的话如瀑布般倾泻而下，根本不给你插嘴的余地。,
之前在埃塞尔雷德营地的那个年轻探子告诉过你，他那群孤儿朋友被关起来做了要挟他的人质。这些孩子看上去正对得上号。,
国王一挥手，照例有个仆人变戏法般端出一大罐金银来。,
你已穿越阿瓦隆的迷雾，来到亚瑟王最终的安息之所。,
你知道上哪儿能找到我。,
奈菲娅用靴尖捅了捅其中一个袭击者，那人发出一声呻吟。,
我可不抱侥幸！动手！,
付钱给他们，你这不可一世的懦夫！否则的话……,
阿尔庭,
他又久久地凝视着你。,
[Random01:Name]停下脚步，透过灌木丛朝外窥视。,
他们在火堆旁高谈阔论，我却站在寒风里……,
收集康纳尔·马克·泰格已死的证据。,
这么说来，她和我倒是同病相怜了。,
弗利里直起身子。哈夫丹和兰薇格走上前来，等着听你的裁决。,
听着……事情闹到这一步全是因为我。我不想让你们大家为了这事搭上性命。,
你果真是[Player:Father]的[Player:son/daughter]，对吧？只是切莫在急切保护你的人民时，忘了体察他们的疾苦。,
让我看看。嗯，伤得不轻。下次扎营时得给你治一治。,
在珀斯搜寻可能认得塞法的项链的人。,
族长靠在墙上，阖上双眼，双手微微抽搐，仿佛正从一口深井里汲取着往昔的回忆。,
远征所需已万事俱备。一旦下定决心踏上此路，便再无回头之可能。,
碰巧路过罢了。,
就是过来瞧瞧你。,
她轻蔑地翘起上唇，露出犬齿，活像一只龇牙咆哮的猫。,
过去这一周我先后派出两批使者，却没有一批回来。我担心他们已遭遇可怕的不测。,
我什么也没做，只会抱怨，只会反对。我像个稍不顺心就胡乱撒气的任性小孩，一直是个累赘，而最近我更是担心，我的怨言已经伤了全团的士气。,
她的目光骤然一冷——在那副高贵矜持的假面下，是一丝几乎难以察觉的变化。,
你一把揪住一个女奴破破烂烂的衣领，逼她吐出那个失踪奴隶的名字。女孩在你手里瑟瑟发抖，用狗都几乎听不清的微弱声音说出了那个名字。,
我真希望他当时把我也带走。,
你最好说到做到，否则我们现在就当场把你砍翻在地。,
铁匠挠了挠后颈。,
叫那几个年轻猎人到埃塞尔雷德营地的卡特那儿去。,
康斯坦丁总得做点什么，好让大家看清楚，他大权在握之后并不会清洗那些异教徒的残兵游勇。他打定主意，需要给他们立一个傀儡头目。,
什么？！我才不会把大蒜往剑鞘里塞！,
待我完成使命，自会归来。,
愿你健壮幸运。我能为你做点什么？,
我就算了，但各位请自便。,
我们希望充当贵我两族间长远贸易伙伴关系的先锋。,
莫非我选的人不合你的心意？,
见你把他被窃的甲胄和剑归还，他喜笑颜开，细细验过有无损坏，这才妥帖地收进行囊里。,
此话当真？好，那我可要你信守诺言。,
我此行是为和平而来。,
她冲贡纳尔调皮地咧嘴一笑，随即又转过来看着你。,
你千万别这样。你的路途引你远远离开我，而我相信，你我都没有那份耐心去等待。,
修复的活计虽不如铸造新作来得痛快，但我向来乐意帮衬你和你的手下。我会给你最实惠的价。,
凯蒂尔把弓递到你手里，自己把那头雄鹿扛上肩膀。你领着他走回营地，他默默跟着，似乎心甘情愿。,
你道出自己的推测，分析贡纳尔一伙如何、又为何会盯上你的村庄，可当你亲耳听见从自己嘴里说出的这番话时，才发觉这一切听上去多么站不住脚。,
没人愿意再记起那份恐惧。,
你的亲卫队正取道一片冰封的湖面抄近路。你们刚踏上对岸，身后猛然传来一阵巨大的咔嚓声，差点没把你们吓得跳起来。,
我谅这群渣滓再不敢来寻我们麻烦。,
我向你保证，我乃是奥斯雷德国王忠心可靠的军事顾问。,
你发现自己正身在世界尽头，与那些先你而来之人并肩厮杀。,
是啊，我们何不省了这些繁文缛节，现在就把正事办了。,
让我问你点别的。,
你站起身，任由那具尸体留在原地。,
这话从你嘴里讲出来，分量可不一样。我听说你和拉格希尔德在布拉韦利尔，跟哈拉尔德·战齿的十几个侍卫交过手。,
{选择你的旗手。},
俊美的凯蒂尔。,
我们早就告诉过你，我们帮不了你！,
你给我带来的利润，顶得上我全家人正常年份收入的两倍。这个给你，聊表谢意。,
没问题。现在放了那孩子。,
守卫们还在你离开时的老地方——还是那几张面孔，照样散漫地坐着闲聊，丝毫没点警惕心。不过，等你从树林边走出来时，他们倒是识趣地站起了身。,
基利安对你露出一个安抚的微笑。,
等等！我有银子！还有值钱的东西！,
在弄清楚这些石头的名堂之前，你在这儿翻不出什么有用的东西。,
他无力地抓着你的胳膊，眼珠整个翻白了过去。那尖叫声渐渐化作痉挛般的抽气，接着又变成一阵绝望而湿漉的干呕，最终，朗瓦尔德彻底僵住不动了。,
老妇人一把抓过罗斯克瓦的手，指甲狠狠掐进她手腕的内侧。罗斯克瓦疼得身子一缩，全写在了脸上。,
罗斯克瓦认命地叹了口气，转身走开。路过你身边时，她顿了顿，用只有你听得见的声音嘟囔了一句。,
我们可以那么干……要么，就为它干上一仗！这倒更合咱们女领主的胃口，你说呢？,
真见鬼，妈！你已经有艾芙拉了，就这一回，相信我，我清楚什么对我自己最好！,
我们大老远赶来，却扑了个空，着实遗憾，不过，奥法国王陛下不必再派战士去援助奥斯雷德了，对此我深感欣慰。,
他脸上浮现出一种既怀疑又好奇的复杂神色。,
你是打哪儿来的？,
赐给我们今日的饮食。免了我们的债，如同我们免了别人的债。,
奈芙娅呻吟一声，把头扭向一边。,
{攻击。} 好，那就让我们见识见识，你那神的庇护到底值几个钱。,
公主还活着？我怎么知道你说的不是假话？,
对不住了，计划有变。莫尔坎特说服了我，与其要那些修女的命，不如要你们的。,
就在此刻，那群趁火打劫的家伙正在我王的居所里翻箱倒柜。那些腐肉食者一天前就冒出来了，可我手里这点力量，实在没法把他们赶走。,
阿斯莱夫尔没有丝毫迟疑，一把格开鲁里克的手臂，高举利刃，随即一记大开大合的横斩，狠狠划过你兄弟的胸膛。,
给我滚出去！[i]走啊！[/i] 别再让我看见你！永远也别再回来，你这满嘴谎话的畜生！,
这把弓，是诺森布里亚的埃塞尔雷德一世的武器教官为女儿十六岁生辰定制的。可惜，生日未到，她就命丧狼口。,
奈芙娅和罗斯克瓦互相翻了个白眼。,
恩巴尔德紧盯着你，脸上波澜不兴，不露一丝情绪。,
嘿，塞恩[玩家姓名]。这事儿真是太谢谢你了。我们总算有一个真正的家了！,
{假装再次饮酒。},
要是奥斯雷德胆敢进犯，他绝无半分胜算。,
感激不尽，可我们得先想法子把你从这群民兵的眼皮底下送过去！,
事儿了结了。你请便吧。,
他的目光落在那头野猪身上——一副疲惫不堪的模样。,
当他意识到自己的失败是何等深重时，绝望如同一只巨手，死死攥住了他。,
异教徒……？你们是为求财而来。恐怕你们要败兴而归了，不过，想拿什么请自便。我们也无力阻拦。,
兴许会有一杆燃烧的长矛呼啸着穿窗而入，把我扎个透心凉？又或者我该提防脚下这些石头突然裂开，把我活活吞没……,
[队长姓名]走到牢房前，死死盯住其中一名囚犯的双眼。,
喂，那边那位。你看着可不像是这附近的人。,
在你熬过了这辈子最磨人的一个时辰之后，终于被再次传召到国王驾前。许多其他的塞恩早已聚拢而来，都想亲眼目睹今年这场最为棘手的纷争，究竟会如何了结。,
甚好……既然没有与你相悖的证词，你以荣誉立下的誓言便将被视为事实。你已被免除一切嫌疑，亦无须承担任何罪责。,
而且，若你还想再买点什么，我所有货品都有折扣——就如我先前承诺的那样。,
我理解。你不必为此感到羞愧。,
奈芙娅审视着这场恶斗留下的痕迹，神情中交织着鄙夷与悲悯。,
什么。,
杀了他们！,
{放弃。} 我不行了……彻底不行了。,
你刚才说，你在给这些人喝麦芽酒？,
作为伟大圣徒的门徒，我们也是如此行事。,
没一样看得上眼的吗？,
这场败仗，你们无需感到羞耻——你们的人给我们制造了极大的麻烦。着实令人佩服。,
我已经把他们赶跑了。,
莫让我们陷入诱惑，救我们脱离凶恶。,
今晚我们无疑是占理的一方，却也给了埃林格沉重一击。时间会证明一切。,
派我来的不是你的上帝，是考斯坦丁·马克·弗格斯。,
没错。,
今夜充满了欢畅的笑声和青涩笨拙的摸索，洋溢着新恋人才有的兴奋与不安。,
愿主护佑你。,
去跟格蕾妮谈谈。,
这样吧，那混蛋的剑你留着。我们只要珠宝。,
我干掉他们的首领，然后我们冲锋。,
他的笑容让你觉得十分友善，可他的架势却满是戒备，手下人也个个随时准备动手。,
我经验很足，8岁就开始打猎，12岁就开始战斗，用不着别人操心。,
我从雅尔手下那里得到的支持少得令人心寒。你本以为雅尔会有兴趣铲除这帮害虫，恢复她领地的秩序——结果根本不是！,
你决定最好不要惊扰泥沼下安息的鬼魂，于是绕道而行，继续赶路。[贪婪：Name]嗤笑一声，满脸不悦。,
在偷听那些你不该听的谈话，是不是？,
{500财宝。},
这不是迷信。要是夜里靠近入口，有时能听见它们发出的声响，像尖叫一样。,
我确信你的神非常强大。,
到底怎么回事，直说吧。,
她渐渐显得有些失魂落魄。,
你跟凯蒂尔处得怎么样？,
还有你，埃奥福维克的冠军，该拿你怎么办呢。,
泪水在她眼眶里直打转，但她硬是忍住了。,
其余被困在木栅圈里的人试图蹭向出口，却让你的侍卫挡住了去路。,
他立刻就动身了，带着几个最信得过的手下，向西往马恩岛去了。,
看来你刚好赶上了。,
那些传言明显是吹得太离谱了。,
至少那诱饵毫发无损地脱了身。,
我们非得走这一趟，好让儿子亲眼见一见救世主的面容。我们还有一个孩子快要降生了，是个[Player:儿子/女儿]。如果您允许，我们就给[Player:他/她]起名叫[Player:Name]。,
[爱猫者：Name]被你吓出的惊叫声逗得咯咯直笑。,
我绝不会的。就当我是全盘托出吧。,
甭理它，它迟早会自己走开的。,
谁去挑战努基？,
诺托尔夫久久地盯着你。,
我们没时间了。让开，不然要你们的命。,
那个诗人死了。,
我会记着你的提议，但别指望我承诺什么。,
行，好吧，我们把钱分了。,
他搁下杯子，踉跄着向前迈了一步，伸出手来，掌心摊开，嘴角挂着笑意。,
我们带回了大把的钱！谁管我们是怎么弄来的？,
[Random01：他/她]说得对，我们得先解决掉这边的战士。要是我们攻城的时候他们从后面打过来，我们就陷于被动了。,
准备伏击,
你要把我赶出我自己的家？这座农场是我一草一木亲手建起来的！,
我姐姐叫塞法，意思是平静、温柔。我对她记不太清了，我们分开时我还太小——不过这些你都知道。,
你站在船头点数船员。现在所有人都在船上了，正熟悉着这艘船——用手掌摩挲着船木，拉扯着绳索。,
就在你再度滑入梦乡之际，隐约听到壁炉那边传来一阵鼾声。,
我守卫斯凯恩、那河流与峡湾的力量是无可撼动的。我是奥克尼群岛的雅尔，也是诺森布里亚与皮克塔维亚的[Player:国王/女王]。,
那艘破破烂烂的老家伙可带不了我们漂洋过海。再说，就算想开它，我们也凑不齐那么大船的船员。,
现在还不行。,
战局已败，那些约顿巨人眨眼间便消失无踪。你的父亲和他的侍卫们再次倒下了——可这一次，你亲眼目睹了全程。,
你若愿意，大可以那样叫我，从你嘴里说出来，我不会当作是侮辱。,
凯尔会不高兴的。,
等你的侍卫们准备再度动身时，那股萦绕不去的不安终于烟消云散了。,
喂！把你的爪子从那上面拿开！,
你寻求与我的领土通商，实属明智之举，然而眼下政局微妙，我们没有工夫商谈贸易路线。,
阿斯莱夫冲着那盾女皱起了眉。,
他在那儿坐了片刻，你仔细地打量着他，不知他下一步要做什么。最后，他似乎终于意识到你还站在那儿，便站了起来。,
利奥弗里克注视着你，眼中的惊讶渐渐化为敬意。,
我早就料到会走到这一步。我不知道考斯坦丁会派你来还是派格蕾妮来，但我确信，在这一切结束之前，我也必须杀了她。,
差不多吧。一套换洗衣服，外加一堆你不想知道的东西。,
片刻之后，用溪水洗净树液，再敷上膏药，[Victim:Name]的伤势已见起色。,
不远处，凯蒂尔深深吸了口气，那气息却粗重而破碎，未能让他镇定下来。,
它猛地一拽，在[Klutz:他/她]彻底滑进下方那黑暗的深渊之前，止住了坠势。,
阿斯莱夫双臂交叉，不耐烦地倒换着脚，重心移来移去。,
男孩们一察觉到你的存在，便立刻站起身来。年长的那个挡在同伴身前，对你露出一个犹疑的微笑。,
说得对！说实话，我们正缺一个值得为之而战的人，在这鸟不拉屎的岛上困守得太久了。,
你确定一切安好？你的举止有点古怪。,
你提到了玛尼和弗里德格德？,
索瓦尔德真是帮了大忙。要是没他，我们[i]根本[/i]就束手无策。,
看来，这面墙尤其薄弱。,
{观察他的样貌。},
他伸出一根手指指向你，活像在演一出义愤填膺的哑剧。,
我知道。,
瞧见咱们坐得离国王有多远了吧。咱们几乎把整个皮克塔维亚拱手奉上，你原以为怎么也该给个更体面的席位才对。,
被索尔的闪电劈中过。这地方受过诸神的触碰，[Player:Name]。,
他瞥了一眼那正在下沉的马车，然后目光扫过你和你的同伴。,
看来是真的——那伙强盗确实走了。,
她的眼神闪烁了一瞬。要不是她正在对[Random01:Name]说话，你或许根本不会察觉，但这分明就是泄露心绪的迹象。女祭司在撒谎。,
你是何人？意欲何为？,
你对与你并肩的扈从们有何看法？,
真是万幸。感谢你分享这个故事，我定会据此调整我的叙述，以求与你的说法一致。,
他全身的每一条肌肉仿佛在同一瞬间绷紧了。,
哈！你说你[i]抱歉[/i]？我袭击了你的村子，杀了你的族人。这待遇已比我料想的好太多了！,
一群耶灵来的人在林子里扎过营。我们把他们赶走了，但他们肯定在临走前杀了他。,
我是[Player:Name]，[Player:Father]的[Player:儿子/女儿]，也正是此地的领主。,
我真希望你没有处决阿斯莱夫。以族人之血开启你的统治？这对氏族的将来可不是什么好兆头。,
“虚弱者”,
告诉我，你为何袭击我的村子，否则我现在就把你捅个对穿。,
已经谈过了。不必再议——至少现在不。,
计划是什么？,
当你将剑刃从诗人的肠腹中抽出时，他跌倒在地，脸上挂着一副滑稽而窘迫的表情。,
帕尔尼很精明……他声如蜜糖，才思敏捷。只可惜他的父亲和兄弟从来听不进他的话。,
我吗？怎么会……不。这种事我可没份。我和“裂颅者”素无瓜葛。,
凯尔投来一个眼神，那目光足以让最铁石心肠的战士脸红，随即她足跟一旋，为你打开了房门。,
我想你最好还是离开。塔洛尔克脾气不小，你再四处嗅来嗅去的话，我不保证还能按住他。,
就算我拼命做个最烂的领主，也仍比你强。,
我已听取争端各方的陈述，凡是能反驳或佐证其中任何细节之人，我也均已问询。在深思熟虑这一切证词之后，我做出了判决。,
那我就随你去珀斯。这里再没什么可让我留恋的了。,
{拾取遗物，但留下祭品。},
这或许能行。只要我们能查清他在何处，以及下一步要去何方。,
以松木雕成，细节一丝不苟，并刻有符文以祈求盲神霍德尔的眷顾。这件武器仿佛能磨砺其在战斗中持有者的心智，使其愈发敏锐。,
你赦免奥斯雷德，实为远见卓识。他是一位明智的统治者，深谙此国，且显然心系子民。,
你所求之事，恐将招致地底之民的怒火。,
比约格迪丝没有回答，她的整个身躯似乎都僵住了。纳夫娅忧心忡忡地伸臂搂住母亲，可比约格迪丝只是雕像般呆立着，一动不动。,
去告诉你母亲这桩好消息。,
我怀疑奥斯雷德这辈子怕是连刀都没摸过。他能构成什么威胁？,
这陷阱藏得真够拙劣的，连我都能一眼看穿。,
那些混蛋击中我了！,
计谋？嗯……或许有一件事我能办到。你叔叔格里穆尔夫曾给我讲过一个故事。,
行。那就走吧。滚出去。,
我们埋伏在西边路上，伏击奥斯雷德的使团。然后夺了他们的旗帜，替他们把谈判给取消了。,
{带走那女人的尸体。},
我实在不忍心看着我那可怜的女儿再受折磨。我这就去给她煮一碗热腾腾的汤。,
他察觉到你脸上毫不掩饰的恼怒，清了清嗓子，便又巧妙地让谈话重回正轨。,
你的双唇微启，她的眼中闪烁着一丝笑意。,
聚精会神地倾听了几秒声响后，[Finder:Name]的喊声从树林边缘外传来。,
那位上了年纪的女人斟酌了片刻，旋即点了点头。,
来找格蕾妮的？她就在里边。,
也就我吼了几个钟头的那些消息罢了：法兰克人在萨克森的大屠杀，有商人招募雇佣兵，斯凯恩遭了北方人的劫掠。可有什么遗漏？,
修道院？我们头一个去的就是那儿。他们连门都不肯给我们开！我们隔着墙苦苦哀求，可他们寸步不让。,
莫尔康特的翻译透着几分紧张，但似乎忠实传达了原意，因为毛科林听罢，用力咽了口唾沫。,
你们俩是老相识？,
我们每次来访，这里的船和人就多上几分。你可知道他们为何聚在你的旗帜之下？他们盼着你去开疆拓土。,
泪水几乎要涌上他的眼眶，但他硬是忍了回去。,
汤德温的来信,
若是日后你手头宽裕了，想扩充财富，我就在这儿等着。,
这“便士”究竟是个什么劳什子？,
错过教训这帮乡巴佬的机会？门儿都没有！让他们见识见识自己面对的是何方神圣！,
我要你去教训教训他，叫他为了自己那非分之想见点儿血。,
你或许可以……,
你要是放弃，我便放你走！兴许吧。,
你那帮同僚塞恩们可真是一群傲慢又优雅的家伙，即便他们此刻正密谋要你的命，夺我们的地。,
你急忙升起帆，抽出船桨。[Shipname]并非什么快船，在急转弯中船身被扭得嘎吱作响。它挣扎着转了个大弯，好一会儿才靠近[Overboard:Name]，但你终于还是把[Overboard:him/her]拖回了船上。,
{什么也不做。},
两人交头接耳了一阵。你紧紧盯着那堆钱，不过他们倒是没去碰。最后，那窃贼又转了回来。,
怎么了？傻丫头，你哪能有事瞒得过自己的好姐妹！嘿，你们俩可真是一对璧人。,
别担心，这条船本就能载比这多得多的货。包管没事。,
彻彻底底地做个了断吧。,
人群中爆发出此起彼伏的“埃塞尔雷德万岁！”“为了诺森布里亚！”的怒吼，如汹涌波涛般倾泻而出。这番景象持续了好几分钟。埃塞尔雷德依次同他所有的封臣握手，最终握住了你的手。,
啊，不不，刀剑长矛可不会随意摆在市场摊位上等着买家上门，要么定制，要么直接从物主手中购买。,
北方人正从南北两面夹击我们！内芙亚守住了桥，阿斯莱夫去增援北面的入口了！,
你少掺和！把嘴闭上！,
她看上去一脸沮丧，但最终，似乎是从你带给她的那种巨大的幻灭感中恢复了过来。,
你说什么？,
尽管放心，东西放在地穴里万无一失。,
你这谎撒得可不怎么样，[Player:Norseman/Norsewoman]。把剩下的都交出来。,
哦，孩子，感谢达格达神，你还活着。,
我无意叨扰你们这般地位的人，但你们实在令我着迷。能否考虑助我一臂之力？,
在我忙活的时候，可有什么趣事发生？,
那就收起那副假装对一切都漠不关心的做派，简明扼要地直说吧。,
是啊，你敢信吗？我早晚得把脑袋从自己那该死的傲慢里拔出来，清醒一下。,
他说我心爱之人唯一的活路，就是让我替奥斯雷德做间谍——只要埃塞尔雷德一完蛋，他就会被释放。若我拒绝，博瑟姆就死定了！[i]我别无选择！[/i],
我们必须打回去！,
念在你为这镇子出了这么多力，我会在不亏本的前提下，给你最优惠的价格。让我瞧瞧损坏得如何。,
莫尔康特有些不好意思地笑了笑。,
关于那片富饶海岸的故事早已广为流传，你定能招募到为数众多的志愿者。,
你这么关心我，真让我受宠若惊！我在西兰岛东海岸有个贸易定居点。,
埃迪丝鼓励地拍了拍你的肩膀。,
他们若不想被我夺走什么，就该主动对我下手。,
在高地洞穴与格蕾妮会合。,
{动手。} 如果今天非打一场不可，这村子才是更软的柿子。这些[i]话[/i]就不用翻了，莫尔坎特。,
教会想把你逼到关门。我希望能找出个折中的法子。,
两人中年长些的那位——脸颊凹陷，唇上横着一道疤——移步挡在了同伴身前。,
国王挥手示意卫兵放你近前，随后亲自开口了。,
那个被你暗自称作“来使”的男人，先对同伴简短吩咐了几句，接着又对你说了句话——语气生硬，但你觉得，是想讲和。,
我从未见过这样一艘船。,
你进来要找的东西还没找到。先别急着出去，再四处看看。,
那些传说纯属放屁，可也没说错。只不过隐去了血汗艰辛。,
妈的……这下我该怎么办？全被那混蛋卷走了，如今没人会要我了。,
这村子里，难道连一个像样的战士都找不出来？,
你总是这般狠心……每次我想帮忙，你都这样。可诸神，他们仍在垂听……他们垂听我。,
{割开她的喉咙。},
他把你拽到一旁，远到他那些窃窃私语刚好听不清楚。,
那提议着实诱人，可我不能对她那般狠心。来吧，用不着你跟她搭话，我只要你在旁边给我壮壮胆。,
我不觉得有什么理由，要为西古尔德王卖命。,
{暂且退后。},
他不屑地哼了一声。,
我还不知道你的名字，这手还不能握。,
[食客：名字]在努基身旁落座。食物在你眼前铺展：蒜香黄油烤大麦饼、莳萝熏鱼、蜜渍防风草。,
哟，瞧你这副吓人模样。想拿什么自管拿，我可没本事拦你。,
我听说阿斯莱夫向你宣誓效忠了。再没比这更好的结果了。,
继……继续往前走……别……别找麻烦。,
海洋的召唤,
贝拉赫是考斯坦丁最强大的对头。所有氏族首领中，唯独他硬扛着不肯结盟，他的氏族会攻击一切闯入他们家园的人。,
行，行，随你！但愿你在里头送命！,
上唇渗出密密汗珠，他紧张地一把抹去。,
你靠近皮克特营地时，一个头发蓬乱、身形魁梧的男人霍地跳起来，拔出兵器。他身后的族人冷眼看着你，满脸厌倦。,
塔洛克正焦躁地来回踱步。,
慢着，别！[i]求求你了！[/i],
没错，就是那个女战士。她在我们战士中威名远扬，令人胆寒。如今，那份敬畏似乎已转到了你身上。,
{先等其他人。},
我们在这儿等第一拨人先到。然后速战速决，赶在第二拨露面之前杀光，这样就不必同时对付两拨了。,
你明知道他们定会死守那所礼拜堂。,
{献上财物一万。} 我们给族人带回财宝了。,
各自珍重，后会有期。,
{别去碰那棵树。},
你沉着摊开对局势的判断，剖明拒援你就等于暗中相助阿斯莱夫，再点出你的装备如此悬殊，更可能令你送命，而非保护阿斯莱夫。,
你若不交出偷走的货物，我就只能要你的命了。,
他看上去并未全信服。,
嗯？哦，当然。这等决定，须得仔细掂量。,
成，需要什么卖给你就是。冲你的名声，我给你个公道价钱。,
埃塞尔雷德嗤之以鼻，但瓦达的双眼却微微睁大——他在听。,
我叫基利安。我听过维京人的故事，老实说，从没想过会是真的。他们把你们传得跟凶神恶煞似的。你们的船，当真像条龙吗？,
她转身面向你时，目光却闪到一旁，没敢正眼看你。,
他浓眉紧锁，满脸失望。,
到城墙外面去找考斯坦丁。,
他重重叹了口气，颓然靠回椅子里。,
此行去往何方？,
皮克特人或许永远不会向埃塞尔雷德国王俯首称臣，但他们再也无力对我的王国构成真正的威胁。,
科尔比约恩不是我父亲。,
你以为这就能把我打趴下？,
瓦莱里乌斯是个软蛋。该由约维塔来主事！,
我们手头恰好就有。,
我无意冒犯你，但我实在没有理由相信你。更何况康纳尔·马克·泰格正对我步步紧逼，我现在已经焦头烂额了。,
奈芙娅的妹妹艾芙拉病得很重。你答应过从里伯给她带药回来。,
识相的话，就把白手套交出来。,
将复仇降于村民，以血祭基利安之死。,
艾迪丝拾起一根树枝，在雪地上草草画了幅地图。她描述了沿途要留意的一些地标，甚至画了些小房子，标示能够落脚的地方。,
当你踏进诺森布里亚营地时，战士们竟反应迟钝。哨兵们根本没想拦你。,
她俯身靠近，在你脸颊上印下一个纯真的吻。,
我赞同，但正因如此，信仰的仪式才绝不能遭人歪曲，以免在信众间制造分裂。,
他缓缓颔首。,
墙壁坍塌的巨响在空荡荡的厅堂间回荡。众人屏息以待，然而片刻过后，似乎并无任何回应。,
我会尽力担起这份责任。来吧，让我们看看里面有什么在等着咱们。,
{处决阿斯莱芙尔。} 我绝不饶你。你罪该万死。,
起来吧，英灵战士。你战得英勇，但你于我的效劳远未终结。还有更多战斗在前面等着。,
他[i]死[/i]也不会承认，但我觉得他那些祈祷跟我这套仪式的效用没两样。它们之所以灵验，不过是因为我们信它灵验。,
又是一连串的鞠躬与千恩万谢，你好不容易才从这小小的家庭里抽身出来。他们离开斯克恩时，还兴高采烈地朝你挥手作别。,
人总是花大把时间去担心那些看不见、摸不着的东西。他们真该把心思放在[i]真[/i]正的威胁上。,
艾菲在嘴里低声咕哝着。,
你真该听听他们是怎么说他的。说他跟魔鬼狼狈为奸。说他深夜掳走孩童，献祭给黑暗势力。,
当初你为珀斯清除了一个敌对女巫设下的诅咒柱，事后乌阿拉赫送了你这个简单的羽毛护符，祝你走运。,
人群中起了一阵咕哝，可那位自封头的农人首领，仍然站得笔挺。,
那大汉双眼圆睁，尽是恐惧。,
不一会儿，[Helper:Name]回来了。,
当然，能为王事效力，我们都很自豪。但赏赐也不该就此推辞，况且，国王也亲口承诺过给予你官家支持。,
你来迟了。事已至此，就是这样。,
酷，这下好多了。,
是啊，一想到这些弦外之音就吓得我发抖。听说你正在招人？可惜这地界但凡有点本事的人，都先被我雇走了。,
这个嘛，我们听说你跟埃奥福尔威克主教交情不错，还听说你正在奥克尼这边立足扎根。,
听起来倒是容易。,
人全齐了！而且都还活着，基本毫发无伤！我再没别的奢求了。,
斯泰因已召集起他的亲卫队环绕身侧，你自己的人也聚集在近旁。他见你来了，便转身面向自己的手下。,
尽管他仍是一副戒备姿态，却绽开一个明朗的笑容来迎接你，那笑容让你感觉是发自内心的友善。,
随时可以动身。,
多谢，但我们自己能行。,
风里飘着一股淡淡腐肉的甜腻臭气。抬头望去，前方灰白的天幕下，黑压压的乌鸦正急切地拍打着翅膀。,
你竟要同这些怪物讨价还价？！,
能带走的全带上，但愿此地的魂灵能让我们安然离去。,
倒也有可能。他说他们往北走了很远，只见到些部落，但如果有关南方那些庞大王国传言不虚，也许[Player:Father]就去那里了。,
你有什么事正瞒着我。,
你的亲卫队就这么生生从他的地窟里冒了出来，把这位好主教吓得着实不轻。,
若他们意在搅乱婚礼，那抓的是谁便已无关紧要。一旦唐克厄斯遭俘，这婚事就结不成了。,
快去，找到凯蒂尔和奈芙娅！我们会把门闩上，待到平安为止。,
为这么点蝇头小利，招来本地人的怨恨，值得吗？,
{让她入伙。}我没意见。,
这也让你赢得太轻松了！,
他眯缝着眼睛，审视了你良久。,
那德鲁伊看上去像个泄了气的皮球。,
仆人捧回一只小箱子来。他将其放在你面前，卖弄地掀开盖子。里头满满当当全是宝物。,
原谅我，[Player:Name]。我从没想过这么快就离你而去。,
我亲爱的奈芙娅。你已出落得如此坚强，又如此美丽。,
瓦尔哈拉，我来了。,
[Random01:Name]低声嘟囔了一句。,
但他为亲卫队招兵买马的时候，可曾问过我？没有！,
这次劫掠大获成功。,
她对我展开了猛烈的攻势，但坦白讲，我总有种感觉——我要是真从了，我身上某些部位恐怕就保不住喽！所以我礼貌地保持了距离。,
我知道这一定让你很难接受，莫尔坎特——但其他的选择只会死更多人。你也看到了，罗穆卢斯军团根本不足为虑。,
{离开。},
在这荒郊野岭安排全职守卫看守墓冢，本就够蹊跷的了，更诡异的是，这帮人竟然全都武装得出奇精良。,
